loan_intent,false_negative,false_positive,person_home_ownership,First person_home_ownership
DEBTCONSOLIDATION,31,16,MORTGAGE,MORTGAGE
DEBTCONSOLIDATION,1,,OWN,OWN
DEBTCONSOLIDATION,30,13,RENT,RENT
EDUCATION,34,17,MORTGAGE,MORTGAGE
EDUCATION,1,,OWN,OWN
EDUCATION,47,14,RENT,RENT
HOMEIMPROVEMENT,27,6,MORTGAGE,MORTGAGE
HOMEIMPROVEMENT,1,,OWN,OWN
HOMEIMPROVEMENT,16,1,RENT,RENT
MEDICAL,25,22,MORTGAGE,MORTGAGE
MEDICAL,1,,OTHER,OTHER
MEDICAL,,2,OWN,OWN
MEDICAL,38,16,RENT,RENT
PERSONAL,28,7,MORTGAGE,MORTGAGE
PERSONAL,40,5,RENT,RENT
VENTURE,9,10,MORTGAGE,MORTGAGE
VENTURE,1,,OWN,OWN
VENTURE,17,7,RENT,RENT
