person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_codes,x_test_indices,y_test,y_pred
25,9600,MORTGAGE,1.0,MEDICAL,5500,12.87,1,0.57,N,3,1,1,1,1
21,9900,OWN,2.0,VENTURE,2500,7.14,1,0.25,N,2,1,4,1,1
24,78956,RENT,5.0,MEDICAL,35000,11.11,1,0.44,N,4,1,6,1,1
24,83000,RENT,8.0,PERSONAL,35000,8.9,1,0.42,N,2,1,7,1,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,30000,10.99,1,0.42,N,4,1,38,1,1
24,12000,OWN,4.0,VENTURE,2500,12.69,1,0.21,N,3,1,40,1,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,30000,10.99,1,0.38,Y,4,0,49,1,1
26,263000,MORTGAGE,0.0,EDUCATION,10000,10.99,1,0.04,N,4,1,61,1,0
25,221850,MORTGAGE,9.0,MEDICAL,25000,15.7,1,0.1,N,2,1,62,1,1
22,56950,RENT,6.0,MEDICAL,28000,10.99,1,0.49,N,2,1,70,1,1
21,12000,OWN,6.0,EDUCATION,3000,13.61,1,0.25,Y,3,0,71,1,1
22,88000,RENT,6.0,VENTURE,28000,9.91,1,0.32,N,3,1,75,1,1
25,100000,RENT,5.0,DEBTCONSOLIDATION,28000,12.69,0,0.28,N,3,1,80,0,0
24,83000,RENT,5.0,PERSONAL,27000,13.49,1,0.33,Y,2,0,90,1,1
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,21600,12.18,0,0.09,N,3,1,98,0,0
25,12600,OWN,3.0,PERSONAL,1750,13.61,0,0.14,N,3,1,103,0,0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,30000,19.91,0,0.13,Y,2,0,109,0,0
26,213000,MORTGAGE,6.0,EDUCATION,35000,10.65,1,0.16,N,2,1,110,1,0
25,12996,OWN,1.0,MEDICAL,3600,14.59,1,0.28,N,3,1,116,1,1
25,225000,MORTGAGE,0.0,VENTURE,25000,18.67,0,0.11,N,2,1,120,0,0
23,50000,RENT,1.0,VENTURE,25000,11.83,1,0.5,N,4,1,128,1,1
23,13200,MORTGAGE,2.0,EDUCATION,1400,9.25,0,0.11,N,4,1,144,0,0
26,210000,OWN,10.0,PERSONAL,22000,11.83,0,0.1,N,4,1,147,0,0
24,55000,RENT,4.0,HOMEIMPROVEMENT,25000,10.99,1,0.45,Y,4,0,150,1,1
23,55000,RENT,4.0,EDUCATION,25000,15.65,1,0.45,Y,3,0,152,1,1
23,60000,RENT,7.0,PERSONAL,25000,10.25,1,0.42,N,4,1,167,1,1
23,200000,MORTGAGE,7.0,EDUCATION,28000,10.99,0,0.14,N,2,1,171,0,0
24,200000,MORTGAGE,3.0,VENTURE,24000,7.49,0,0.12,N,4,1,173,0,0
24,200000,RENT,8.0,EDUCATION,10000,8.49,0,0.05,N,4,1,176,0,0
